a52dec 0.7.4-11
python-uvloop 0.15.2-1
python-webencodings 0.5.1-6
python-websockets 9.1-1
python-wsproto 1.0.0-1
python2 2.7.18-3
python2-cairo 1.18.2-4
python2-gobject2 2.28.7-6
python2-numpy 1.16.6-1
qt5-base 5.15.2+kde+r203-1
qt5-declarative 5.15.2+kde+r29-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-wayland 5.15.2+kde+r28-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.5-1
qt5-webkit 5.212.0alpha4-10
qt5-x11extras 5.15.2-1
ranger 1.9.3-3
rarian 0.8.1-7
rav1e 0.4.1-1
re2 1:20210601-1
readline 8.1.001-1
recode 3.7.9-1
reflector 2021.4-1
rest 0.8.1-3
rhash 1.4.1-1
rnnoise 0.4.1-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
ruby 3.0.1-1
ruby-diff-lcs 1.4.4-2
ruby-irb 1.3.6-1
ruby-manpages 0.6.1-4
ruby-optimist 3.0.1-2
ruby-paint 2.2.1-2
ruby-rainbow 3.0.0-6
ruby-rdoc 6.3.1-1
ruby-reline 0.2.5-1
ruby-rspec 3.10.0-1
ruby-rspec-core 3.10.1-1
ruby-rspec-expectations 3.10.1-1
ruby-rspec-mocks 3.10.2-1
ruby-rspec-support 3.10.2-1
ruby-term-ansicolor 1.7.1-2
ruby-tins 1.26.0-2
rubygems 3.2.21-1
run-parts 4.11.2-1
sbc 1.5-2
screenkey 1.4-2
scrot 1.5-1
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shaderc 2021.0-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.04.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slop 7.5-5
smbclient 4.14.5-1
snappy 1.1.8-2
solid 5.83.0-1
sonnet 5.83.0-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.1-1
spotify 1:1.1.56.595-1
spotify-tui 0.24.0-1
spotifyd 0.3.2-1
sqlite 3.36.0-1
srt 1.4.3-1
stress 1.0.4-6
sudo 1.9.7.p1-1
suitesparse 5.10.1-1
surf 2.1-2
svt-av1 0.8.7-1
sysfsutils 2.1.1-1
systemd 248.3-2
systemd-libs 248.3-2
systemd-sysvcompat 248.3-2
t1lib 5.1.2-8
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tbb 2020.3-1
tcl 8.6.11-1
tdb 1.4.3-4
telegram-desktop 2.8.3-1
terminator 2.1.1-2
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
threadweaver 5.83.0-1
tk 8.6.11.1-1
trayer 1.1.8-2
tree 1.8.0-2
tslib 1.22-1
ttf-font-awesome 5.15.3-1
ttf-opensans 1.101-2
tzdata 2021a-1
